Circle,Operator,Total Paired Spectrum (in MHz),Total Unpaired Spectrum/2(in Mhz),800 Mhz,900 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2600 Mhz
Delhi,Aircel,0,0,0,0,4.4,0,0,0
Delhi,Bharti Airtel,0,0,0,6,9,5,0,0
Delhi,BSNL/ MTNL,0,0,3.75,6.2,6.2,5,0,10
Delhi,Idea Cellular,0,0,0,5,8.6,0,0,0
Delhi,Reliance Communications,0,0,5,0,4.4,5,0,0
Delhi,Reliance Jio,0,0,0,0,5.4,0,10,0
Delhi,Sistema Shyam,0,0,3.75,0,0,0,0,0
Delhi,Tata DoCoMo,0,0,6.23,0,0,0,0,0
Delhi,Vodafone Essar,0,0,0,5,10,5,0,0
Delhi,Qualcomm/ Bharti Airtel,0,0,0,0,0,0,10,0
Kolkata,Aircel,0,0,0,0,0,5,0,0
Kolkata,Bharti Airtel,0,0,0,7,14,5,10,0
Kolkata,BSNL/ MTNL,0,0,2.5,6.2,0,5,0,10
Kolkata,Idea Cellular,0,0,0,0,5,5,0,0
Kolkata,Reliance Communications,0,0,6.23,0,0,0,0,0
Kolkata,Reliance Jio,0,0,0,0,10,0,10,0
Kolkata,Sistema Shyam,0,0,3.75,0,0,0,0,0
Kolkata,Tata DoCoMo,0,0,3.75,0,0,5,0,0
Kolkata,Vodafone Essar,0,0,0,7,16,0,0,0
Mumbai,Aircel,0,0,0,0,4.4,0,0,0
Mumbai,Bharti Airtel,0,0,0,5,15.2,5,0,0
Mumbai,BSNL/ MTNL,0,0,2.5,6.2,6.2,5,0,10
Mumbai,Idea Cellular,0,0,0,0,6.4,0,0,0
Mumbai,Loop,0,0,0,0,2,0,0,0
Mumbai,Reliance Communications,0,0,5,0,5,5,0,0
Mumbai,Reliance Jio,0,0,4.92,0,6.6,0,10,0
Mumbai,Tata DoCoMo,0,0,7.46,0,4.4,0,0,0
Mumbai,Vodafone Essar,0,0,0,11,10.2,5,0,0
Mumbai,Qualcomm,0,0,0,0,0,0,10,0
Andhra Pradesh,Aircel,0,0,0,0,4.4,5,10,0
Andhra Pradesh,Bharti Airtel,0,0,0,9,12.2,5,0,0
Andhra Pradesh,BSNL/ MTNL,0,0,3.75,6.2,3.8,5,0,10
Andhra Pradesh,Idea Cellular,0,0,0,5,7.8,5,0,0
Andhra Pradesh,Reliance Communications,0,0,5,0,4.4,0,0,0
Andhra Pradesh,Reliance Jio Infocomm,0,0,0,0,5.8,0,10,0
Andhra Pradesh,Tata DoCoMo,0,0,8.69,0,7,0,0,0
Andhra Pradesh,Telewings,0,0,0,0,6.4,0,0,0
Andhra Pradesh,Vodafone Essar,0,0,0,0,6.8,0,0,0
Gujarat,Aircel,0,0,0,0,4.4,0,0,0
Gujarat,Bharti Airtel,0,0,0,0,6.2,5,0,0
Gujarat,BSNL/ MTNL,0,0,2.5,6.2,1.2,5,0,10
Gujarat,Idea Cellular,0,0,0,5,1.6,5,0,0
Gujarat,Reliance Communications,0,0,6.23,0,4.4,0,0,0
Gujarat,Reliance Jio Infocomm,0,0,0,0,6,0,10,0
Gujarat,Sistema Shyam,0,0,3.75,0,0,0,0,0
Gujarat,Tata DoCoMo,0,0,3.75,0,4.4,5,0,0
Gujarat,Telewings,0,0,0,0,5,0,0,0
Gujarat,Videocon,0,0,0,0,5,0,0,0
Gujarat,Vodafone Essar,0,0,0,6,9.8,5,0,0
Gujarat,Tikona,0,0,0,0,0,0,10,0
Karnataka,Aircel,0,0,0,0,4.4,5,0,0
Karnataka,Bharti Airtel,0,0,0,8.8,11,5,10,0
Karnataka,BSNL/ MTNL,0,0,2.5,6.2,3.8,5,0,10
Karnataka,Reliance Communications,0,0,5,0,5,0,0,0
Karnataka,Reliance Jio Infocomm,0,0,0,0,5,0,10,0
Karnataka,Sistema Shyam,0,0,3.75,0,0,0,0,0
Karnataka,Idea Cellular,0,0,0,5,6,0,0,0
Karnataka,Tata DoCoMo,0,0,3.75,0,4.4,0,0,0
Karnataka,Vodafone Essar,0,0,0,0,13,5,0,0
Maharashtra,Aircel,0,0,0,0,4.4,0,0,0
Maharashtra,Bharti Airtel,0,0,0,0,8.2,5,10,0
Maharashtra,BSNL/ MTNL,0,0,2.5,6.2,3.8,0,0,10
Maharashtra,Idea Cellular,0,0,0,9,11,0,0,0
Maharashtra,Reliance Communications,0,0,3.75,0,4.4,0,0,0
Maharashtra,Reliance Jio Infocomm,0,0,0,0,5,0,10,0
Maharashtra,Tata DoCoMo,0,0,7.46,0,4.4,0,0,0
Maharashtra,Telewings,0,0,0,0,5,0,0,0
Maharashtra,Vodafone Essar,0,0,0,5,1.25,0,0,0
Tamil Nadu. Chennai,Aircel,0,0,0,0,12.4,5,10,0
Tamil Nadu. Chennai,Bharti Airtel,0,0,0,0,11.2,10,0,0
Tamil Nadu. Chennai,BSNL/ MTNL,0,0,0,6.2,3.8,5,0,10
Tamil Nadu. Chennai,Idea Cellular,0,0,0,0,11.4,0,0,0
Tamil Nadu. Chennai,Reliance Communications,0,0,5,0,4.4,0,0,0
Tamil Nadu. Chennai,Reliance Jio Infocomm,0,0,0,0,6.8,0,10,0
Tamil Nadu. Chennai,Sistema Shyam,0,0,0,0,0,0,0,0
Tamil Nadu. Chennai,Tata DoCoMo,0,0,3.75,0,4.4,0,0,0
Tamil Nadu. Chennai,Vodafone Essar,0,0,0,0,8,5,0,0
Haryana,Aircel,0,0,0,0,4.4,0,0,0
Haryana,Bharti Airtel,0,0,0,0,9.6,5,0,0
Haryana,BSNL/ MTNL,0,0,2.5,6.2,3.8,5,0,10
Haryana,Idea Cellular,0,0,0,6,6,5,0,0
Haryana,Reliance Communications,0,0,4.98,0,5,0,0,0
Haryana,Reliance Jio Infocomm,0,0,4.92,0,4,0,10,0
Haryana,Tata DoCoMo,0,0,6.23,0,4.4,5,0,0
Haryana,Videocon,0,0,0,0,5,0,0,0
Haryana,Vodafone Essar,0,0,0,6.2,4.9,5,0,0
Haryana,Qualcomm,0,0,0,0,0,0,10,0
Kerala,Aircel,0,0,0,0,4.4,5,0,0
Kerala,Bharti Airtel,0,0,0,0,11.2,0,0,0
Kerala,BSNL/ MTNL,0,0,3.75,6.2,3.8,5,0,10
Kerala,Idea Cellular,0,0,0,6,11.8,5,0,0
Kerala,Reliance Communications,0,0,5,0,4.4,0,0,0
Kerala,Reliance Jio Infocomm,0,0,0,0,5,0,10,0
Kerala,Sistema Shyam,0,0,3.75,0,0,0,0,0
Kerala,Tata DoCoMo,0,0,3.75,0,4.4,5,0,0
Kerala,Vodafone Essar,0,0,0,6.4,8.25,5,0,0
Kerala,Qualcomm,0,0,0,0,0,0,10,0
MP,Aircel,0,0,0,0,4.4,0,0,0
MP,Bharti Airtel,0,0,0,0,13.8,5,0,0
MP,BSNL/ MTNL,0,0,2.5,6.2,3.8,5,0,10
MP,Idea Cellular,0,0,0,7.4,8.8,5,0,0
MP,Reliance Communications,0,0,5,5,0,5,0,0
MP,Reliance Jio Infocomm,0,0,4.92,0,6.4,0,10,0
MP,Tata DoCoMo,0,0,2.5,0,4.4,5,0,0
MP,Videocon,0,0,0,0,5,0,0,0
MP,Vodafone Essar,0,0,0,0,6.9,0,0,0
MP,Auguere,0,0,0,0,0,0,10,0
Punjab,Aircel,0,0,0,0,4.4,5,0,0
Punjab,Bharti Airtel,0,0,0,10,9.2,0,10,0
Punjab,BSNL/ MTNL,0,0,2.5,6.2,0,5,0,10
